1	 사업장 	 항목 	 공장그룹 	 일련번호 	 형식 	 관제점(채운용) 	 단위 	 표시 	 TAG 명 			 Primary Key 	 PID No 	 Line Size 	 Fluid Code 	Serial Number	 Matarial Spec 	 Insulation 	 관제점 설명 		 관제점 명칭 	 주기 	 Log 	 Event 	1
117	 씨와이 	 압공 	 F03 	 0008 					 FI 	3110	관제점	F030008-FI3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			117
118	 씨와이 	 압공 	 F03 	 0008 					 FT 	3110	설비	F030008-FT3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			118
119	 씨와이 	 압공 	 F03 	 0008 					 PI 	3110	관제점	F030008-PI3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			119
120	 씨와이 	 압공 	 F03 	 0008 					 PI 	3110	관제점	F030008-PI3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			120
121	 씨와이 	 압공 	 F03 	 0008 					 PT 	3110	설비	F030008-PT3110	 PID-VUP-308 	 25A 	 AIR 	3143	 A2 	 N 	씨와이	압공		 aaa 			121
122	 씨와이 	 스팀 	 F03 	 0008 					 XV 	3210	관제점	F030008-XV3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			122
123	 씨와이 	 스팀 	 F03 	 0008 					 HS 	3210	설비	F030008-HS3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			123
124	 씨와이 	 스팀 	 F03 	 0008 					 FI 	3210	관제점	F030008-FI3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			124
125	 씨와이 	 스팀 	 F03 	 0008 					 FI 	3210	관제점	F030008-FI3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			125
126	 씨와이 	 스팀 	 F03 	 0008 					 FT 	3210	설비	F030008-FT3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			126
127	 씨와이 	 스팀 	 F03 	 0008 					 PI 	3210	관제점	F030008-PI3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			127
128	 씨와이 	 스팀 	 F03 	 0008 					 PI 	3210	관제점	F030008-PI3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			128
129	 씨와이 	 스팀 	 F03 	 0008 					 PT 	3210	설비	F030008-PT3210	 PID-VUP-306 	 32A 	 S 	3222	 A1 	 H 	씨와이	스팀		 aaa 			129
130	 승부 	 압공 	 F03 	 0009 					 XV 	3124	관제점	F030009-XV3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			130
131	 승부 	 압공 	 F03 	 0009 					 HS 	3124	설비	F030009-HS3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			131
132	 승부 	 압공 	 F03 	 0009 					 FT 	3124	설비	F030009-FT3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			132
133	 승부 	 압공 	 F03 	 0009 					 FI 	3124	관제점	F030009-FI3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			133
134	 승부 	 압공 	 F03 	 0009 					 FI 	3124	관제점	F030009-FI3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			134
135	 승부 	 압공 	 F03 	 0009 					 PI 	3124	관제점	F030009-PI3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			135
136	 승부 	 압공 	 F03 	 0009 					 PI 	3124	관제점	F030009-PI3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			136
137	 승부 	 압공 	 F03 	 0009 					 PT 	3124	설비	F030009-PT3124	 PID-VUP-308 	 25A 	 AIR 	3157	 A2 	 N 	승부	 압공 		 aaa 			137
138	 승부 	 스팀 	 F03 	 0009 					 XV 	3206	관제점	F030009-XV3206	 PID-VUP-306 	 32A 	 S 	3218	 A1 	 H 	승부	 스팀 		 aaa 			138
139	 승부 	 스팀 	 F03 	 0009 					 HS 	3206	설비	F030009-HS3206	 PID-VUP-306 	 32A 	 S 	3218	 A1 	 H 	승부	 스팀 		 aaa 			139
140	 승부 	 스팀 	 F03 	 0009 					 FI 	3206	관제점	F030009-FI3206	 PID-VUP-306 	 32A 	 S 	3218	 A1 	 H 	승부	 스팀 		 aaa 			140
141	 승부 	 스팀 	 F03 	 0009 					 FI 	3206	관제점	F030009-FI3206	 PID-VUP-306 	 32A 	 S 	3218	 A1 	 H 	승부	 스팀 		 aaa 			141
